,PLZ,Venue_Name,Category,Latitude,Longitude,Address,Distance
401,60327,Pizzeria Quattro Stelle,Pizza Place,50.1031644633772,8.644546843654457,Frankfurt am Main,636
402,60327,Mahlzeit,Restaurant,50.10349959998523,8.636081529727036,"Schwalbacher Strasse 62, 60326 Frankfurt am Main",1001
403,60327,Central Grill,Turkish Restaurant,50.10322863663214,8.643937622190997,"Mainzer Landstraße 240 (Hufnagelstraße), 60326 Frankfurt am Main",654
404,60327,korrekt food,Food Court,50.103731979809346,8.648469543586426,"mainzerldstr. 229, 60326 Frankfurt am Main",692
405,60327,émile - ma petite cuisine,Bistro,50.09947287535607,8.659525617124592,"Bachforellenweg 51, Frankfurt am Main",939
406,60327,Elia Restaurant - Bar,Greek Restaurant,50.10458750676413,8.641439899293005,"Frankenallee 111, 60326 Frankfurt am Main",861
407,60327,Mei Mei Chinapoint,Asian Restaurant,50.1028205972826,8.641377303796355,"Mainzer Landstrasse 258, 60326 Frankfurt am Main",692
408,60327,REWE,Supermarket,50.10394067783841,8.636772407854892,"Frankenallee 157, 60326 Frankfurt am Main",998
409,60327,The FIZZ Frankfurt Gallus,College Residence Hall,50.102202,8.637738,"Mainzer Landstraße, 323, 60326 Frankfurt am Main",817
410,60327,Gallus Theater,Concert Hall,50.102027402811416,8.642517948918112,"Kleyerstraße 15, 60326 Frankfurt am Main",574
411,60327,Trinkhalle im Turm,Bar,50.103385755452685,8.64473116279842,Frankfurt am Main,657
412,60327,Rossmann,Drugstore,50.10198373995925,8.636305008129558,"Mainzer Landstr. 341, 60326 Frankfurt am Main",886
413,60327,Cetin Grill,Mediterranean Restaurant,50.10389651952791,8.637074813128562,"Frankenallee 153, 60326 Frankfurt am Main",979
414,60327,Pearl Hotel,Hotel,50.10116290188624,8.65865500401415,"Gutleutstr. 173, 60327 Frankfurt am Main",941
415,60327,Y&R Frankfurt,Museum,50.10185630652577,8.641501793153202,"Kleyerstr. 19, 60326 Frankfurt am Main",599
416,60327,Maximilian's,German Restaurant,50.104453,8.637975,"Hattersheimer Str. 2-6, 60326 Frankfurt am Main",982
417,60327,Asia Wok & Express,Asian Restaurant,50.10154296689107,8.640554893745183,"Lahnstr. 4 (Kleyerstrasse), 60326 Frankfurt am Main",618
418,60327,Sommerhoffpark,Park,50.096241781445784,8.642844124242615,"Gutleutstr., 60327 Frankfurt am Main",313
419,60327,Billback,Bakery,50.104137,8.638775,"Kriegkstraße 73, 60326 Frankfurt am Main",919
420,60329,Saravanaa Bhavan,Indian Restaurant,50.10815979993023,8.666834235191345,"Kaiserstr 66, 60329 Frankfurt am Main",67
421,60329,City Kiosk Yok-Yok,Convenience Store,50.10755331918962,8.668509708635826,"Münchenerstr. 32, 60329 Frankfurt am Main",156
422,60329,Der Fette Bulle,Burger Joint,50.107692,8.666418,"Kaiserstraße 73, 60311 Frankfurt am Main",8
423,60329,Plank,Bar,50.107657,8.668648,"Münchener Str. 30 (Elbestr.), 60329 Frankfurt am Main",165
424,60329,Kabuki,Japanese Restaurant,50.109034837022676,8.670183015624227,"Kaiserstr. 42, 60329 Frankfurt am Main",315
425,60329,eatDOORI,Indian Restaurant,50.10841,8.668881,"Kaiserstr. 55, 60329 Frankfurt am Main",201
426,60329,Lam Frères,Vietnamese Restaurant,50.10810615694838,8.670092923656206,"Weserstrasse 12, 60 329 Frankfurt am Main",273
427,60329,COA - Asian food,Asian Restaurant,50.10808456697142,8.666420024233247,"Kaiserstr. 68 (Moselstr.), 60320 Frankfurt am Main",48
428,60329,mian,Chinese Restaurant,50.109864,8.664454,"Niddastr. 52, 60329 Frankfurt am Main",280
429,60329,Istanbul Fisch Grill,Seafood Restaurant,50.10773437393767,8.669441196524987,"Münchener Straße, Frankfurt am Main",222
430,60329,KAISER Zeit Kaiser Biobäckerei,Bakery,50.10836325547043,8.668340502771,Frankfurt am Main,164
431,60329,Selera Malaysian Restaurant,Malay Restaurant,50.10706852147912,8.666491321542344,"Münchener Str. 52, 60329 Frankfurt am Main",65
432,60329,Good Guys,Burger Joint,50.108476355394416,8.668392410521264,"Kaiserstraße 56, 60329 Frankfurt am Main",173
433,60329,Hunky Dory,Cocktail Bar,50.103891712844565,8.665367323347024,"Baseler Straße 10, 60329 Frankfurt am Main",423
434,60329,Holiday Inn Frankfurt - Alte Oper,Hotel,50.1110216,8.6655953,"Mainzer Landstrasse 27, 60329 Frankfurt am Main",379
435,60329,Tatie,Moroccan Restaurant,50.108516,8.663248,"Am Hauptbahnhof 18, 60329 Frankfurt am Main",240
436,60329,Simit Café,Café,50.108877956596935,8.669748424341634,"Kaiserstr. 44 (Weserstr.), 60329 Frankfurt am Main",279
437,60329,Pracht,Café,50.10938851777609,8.663686987093655,"Niddastr. 54 (Karlstr.), 60329 Frankfurt am Main",270
438,60329,Im Herzen Afrikas,African Restaurant,50.107422,8.671543,"Gutleutstraße 13, 60329 Frankfurt am Main",373
439,60329,AMP,Bar,50.1091685440766,8.672193719471117,"Gallusanlage 2, Frankfurt am Main",451
440,60329,English Theatre Frankfurt,Theater,50.10951005649988,8.672403209363361,"Gallusanlage 7, 60311 Frankfurt am Main",480
441,60329,Club Michel,Modern European Restaurant,50.10818258880777,8.6708671908189,"Münchner Str. 12, 60329 Frankfurt am Main",329
442,60329,Stanley Diamond,Restaurant,50.1087588020894,8.65987094123319,"Ottostr. 16-18, 60329 Frankfurt am Main",477
